SeniorCitizen,MonthlyCharges_Log,TotalCharges_Log,PhoneService_new,Contract_new,PaperlessBilling_new,PaymentMethod_new,Churn_new,gender_new,Partner_new,Dependents_new,MultipleLines_new,InternetService_new,OnlineSecurity_new,OnlineBackup_new,DeviceProtection_new,TechSupport_new,StreamingTV_new,StreamingMovies_new,tenureCatLabel_new
0,3.396184839838611,3.396184839838611,0,0,1,2,0,0,1,0,1,0,0,2,0,0,0,0,0
0,4.0421736898931915,7.544067522789543,1,1,0,3,0,1,0,0,0,0,2,0,2,0,0,0,2
0,3.9862024036023977,4.683519152399068,1,0,1,3,1,1,0,0,0,0,2,2,0,0,0,0,0
0,3.744787086052232,7.517928376248826,0,1,0,0,0,1,0,0,1,0,2,0,2,2,0,0,3
0,4.258445572902527,5.02157523413459,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0
0,4.6016640466588035,6.709913910530146,1,0,1,2,1,0,0,0,2,1,0,0,2,0,2,2,0
0,4.489759334476764,7.57527691190311,1,0,1,1,0,1,0,1,2,1,0,2,0,0,2,0,1
0,3.392829131991639,5.710095836712793,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0
0,4.6520537718869415,8.021600948290835,1,0,1,2,1,0,1,0,2,1,0,0,2,2,2,2,2
0,4.0280266811844525,8.157069450063739,1,1,0,0,0,1,0,1,0,0,2,2,0,0,0,0,5
0,3.9110225050945626,6.375791136013581,1,0,1,3,0,1,1,1,0,0,2,0,0,0,0,0,1
0,2.9418039315284354,5.789348362985848,1,2,0,1,0,1,0,0,0,2,1,1,1,1,1,1,1
0,4.608664075242347,8.64490015493697,1,1,0,1,0,1,1,0,2,1,0,0,2,0,2,2,4
0,4.641502115235482,8.524426964478117,1,0,1,0,1,1,0,0,2,1,0,2,2,0,2,2,4
0,4.658710952916121,7.895826991950878,1,0,1,2,0,1,0,0,0,1,2,0,2,2,2,2,2
0,4.7295977643631435,8.974003925875945,1,2,0,1,0,0,1,1,2,1,2,2,2,2,2,2,5
0,3.027715319407042,6.930445888901835,1,1,0,3,0,0,0,0,0,2,1,1,1,1,1,1,4
0,4.670021158307708,8.90683374917743,1,2,0,0,0,1,0,1,2,1,2,0,2,0,2,2,5
0,4.01096295328305,6.26975894288704,1,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0
0,4.500365071621965,7.529889692295663,1,0,1,2,0,0,0,0,0,1,0,2,2,0,0,2,1
1,3.680090948080857,3.680090948080857,0,0,1,2,1,1,0,0,1,0,0,0,2,0,0,2,0
0,2.9856819377004897,5.309504555938601,1,1,0,0,0,1,1,0,0,2,1,1,1,1,1,1,0
0,3.0032042883926917,3.0032042883926917,1,0,0,3,1,1,0,0,0,2,1,1,1,1,1,1,0
0,4.092676505121403,8.16197432973217,1,2,1,1,0,0,1,0,2,0,0,2,0,2,0,0,4
0,4.087655574071304,7.996418236796579,1,0,0,1,0,1,1,1,0,0,2,2,0,2,0,0,4
0,4.012772908528289,7.3334150943758205,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2
0,4.598648968997826,8.465720933647274,1,0,1,2,1,1,1,1,2,1,0,2,0,0,2,2,3
0,3.407841924380824,3.407841924380824,0,0,0,2,1,1,1,1,1,0,0,2,0,0,0,0,0
0,4.502583597212991,8.759268402609305,1,2,1,1,0,1,1,0,2,0,2,2,2,2,2,2,5
0,4.169761201506855,6.996772975299789,1,0,1,3,1,0,0,1,0,0,0,0,0,0,2,2,1
1,4.567987394860375,8.819805747406347,1,2,1,1,0,0,1,0,2,1,2,2,2,2,0,0,5
1,4.5591262474866845,5.202081758667211,1,0,1,1,0,1,1,0,0,1,0,0,2,0,2,2,0
0,4.191924890560965,7.536070562040541,1,1,0,3,0,0,1,1,0,0,2,2,2,2,0,0,2
0,3.005682604407159,3.005682604407159,1,0,0,0,0,1,0,0,0,2,1,1,1,1,1,1,0
1,3.8122026701459353,3.8122026701459353,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,4.604169685654508,8.888991203120556,1,2,0,0,0,0,1,1,2,1,2,2,0,2,2,0,5
0,4.244200317766478,5.758586266696875,1,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0
0,4.314817884980432,8.174223894533617,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,3
0,4.666735541646246,8.174491592543683,1,0,1,2,1,1,0,0,2,1,0,2,2,0,2,2,2
0,4.583435693842085,7.007962539399163,1,0,1,0,1,0,0,0,2,1,0,0,2,0,2,2,0
0,3.902982260775997,6.164787403438236,1,1,0,3,0,1,1,1,0,0,0,2,0,0,0,0,0
0,4.237000862623624,8.49133164588989,1,2,1,1,0,0,1,1,2,0,2,2,0,0,2,0,5
0,3.0325462466767075,6.036079339866934,1,1,0,3,0,0,1,1,0,2,1,1,1,1,1,1,1
0,4.380149874661021,8.489092026305327,1,2,1,1,0,0,0,0,2,0,2,2,2,2,2,0,5
